Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Unknown],SKU [Unknown],Packaging [Unknown],Unit Price (@ Batch Size: 1) [Unknown],Line Total [Unknown],Batch Total [Unknown],In Stock [Unknown],MOQ [Unknown],URL [Unknown],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
2,CC1206MKX5R5BB107,Yageo,CC1206MKX5R5BB107,https://octopart.com/cc1206mkx5r5bb107-yageo-29667503,"C2,C4",100uF,MLCC,2,311-1991-1-ND,603-CC126MKX5R5BB107,Cut Tape,Tape & Reel,1.5814685800000001,1.5814685800000001,2228,67,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0d0d724&sid=2401&ppid=29667503&vpid=200005365&ct=offers,Digi-Key,311-1991-1-ND,Cut Tape,1.5814685800000001,3.1629371600000002,3.1629371600000002,2228,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,
7,GRM188C80G106KE47D,Murata,GRM188C80G106KE47D,https://octopart.com/grm188c80g106ke47d-murata-51112192,"C1,C8,C25,C29,C31,C33,C37",10uF,MLCC,7,490-10469-1-ND,81-GRM188C80G106KE7D,Cut Tape,Tape & Reel,0.15019534,0.15019534,105596,15740,1,1,https://octopart.com/click/track?ak=39ac400e&sig=04a2b4f&sid=459&ppid=51112192&vpid=172161820&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=02a7a75&sid=2401&ppid=51112192&vpid=168801369&ct=offers,Digi-Key,490-10469-1-ND,Cut Tape,0.15019534,1.05136738,1.05136738,105596,1,https://octopart.com/click/track?ak=39ac400e&sig=04a2b4f&sid=459&ppid=51112192&vpid=172161820&ct=offers,
5,GRM155C80J225ME95D,Murata,GRM155C80J225ME95D,https://octopart.com/grm155c80j225me95d-murata-46692779,"C32,C35,C36,C38,C40",2.2uF,MLCC,5,490-10013-1-ND,81-GRM155C80J225ME5D,Cut Tape,Tape & Reel,0.10602024,0.10602024,188960,51833,1,1,https://octopart.com/click/track?ak=39ac400e&sig=087846f&sid=459&ppid=46692779&vpid=172161698&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0adcb5e&sid=2401&ppid=46692779&vpid=170711669&ct=offers,Digi-Key,490-10013-1-ND,Cut Tape,0.10602024,0.5301012,0.5301012,188960,1,https://octopart.com/click/track?ak=39ac400e&sig=087846f&sid=459&ppid=46692779&vpid=172161698&ct=offers,
1,GRM155R61C225KE44D,Murata,GRM155R61C225KE44D,https://octopart.com/grm155r61c225ke44d-murata-51454464,C39,2.2uF,MLCC,1,490-10455-1-ND,81-GRM155R61C225KE4D,Cut Tape,Tape & Reel,0.23854554000000003,0.23854554000000003,297616,78203,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0126cb5&sid=459&ppid=51454464&vpid=172161763&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0ba0596&sid=2401&ppid=51454464&vpid=198297968&ct=offers,Digi-Key,490-10455-1-ND,Cut Tape,0.23854554000000003,0.23854554000000003,0.23854554000000003,297616,1,https://octopart.com/click/track?ak=39ac400e&sig=0126cb5&sid=459&ppid=51454464&vpid=172161763&ct=offers,
9,CC0402KRX7R5BB105,Yageo,CC0402KRX7R5BB105,https://octopart.com/cc0402krx7r5bb105-yageo-51849241,"C6,C7,C14,C17,C18,C19,C21,C22,C27",1uF,MLCC,9,311-1702-1-ND,603-CC402KRX7R5BB105,Cut Tape,Tape & Reel,0.23854554000000003,0.22971052,0,9321,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=09c8599&sid=459&ppid=51849241&vpid=193846193&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,Mouser,603-CC402KRX7R5BB105,Tape & Reel,0.22971052,2.06739468,2.06739468,9321,1,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,
7,CC0402KRX7R7BB104,Yageo,CC0402KRX7R7BB104,https://octopart.com/cc0402krx7r7bb104-yageo-42244624,"C5,C10,C12,C13,C15,C24,C28",0.1uF,MLCC,7,311-1338-1-ND,603-CC402KRX7R7BB104,Cut Tape,Tape & Reel,0.0883502,0.0883502,37334121,165495387,1,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=06cc016&sid=2401&ppid=42244624&vpid=115233261&ct=offers,Digi-Key,311-1338-1-ND,Cut Tape,0.0883502,0.6184514,0.6184514,37334121,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,
1,CC0402KRX7R7BB103,Yageo,CC0402KRX7R7BB103,https://octopart.com/cc0402krx7r7bb103-yageo-192895,C30,0.01uF,MLCC,1,311-1042-1-ND,603-CC402KRX7R7BB103,Cut Tape,Tape & Reel,0.0883502,0.0883502,1663774,589803,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0642b1d&sid=2401&ppid=192895&vpid=115233260&ct=offers,Digi-Key,311-1042-1-ND,Cut Tape,0.0883502,0.0883502,0.0883502,1663774,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,
1,CC0402KRX7R7BB102,Yageo,CC0402KRX7R7BB102,https://octopart.com/cc0402krx7r7bb102-yageo-11543552,C16,0.001uF,MLCC,1,311-1352-1-ND,603-CC402KRX7R7BB102,Cut Tape,,0.0883502,0.0883502,690440,254397,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05b935e&sid=2401&ppid=11543552&vpid=45059684&ct=offers,Digi-Key,311-1352-1-ND,Cut Tape,0.0883502,0.0883502,0.0883502,690440,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,
2,CC0402JRNPO9BN180,Yageo,CC0402JRNPO9BN180,https://octopart.com/cc0402jrnpo9bn180-yageo-9287405,"C20,C23",18pF,MLCC,2,311-1415-1-ND,603-CC402JRNPO9BN180,Cut Tape,Tape & Reel,0.0883502,0.0883502,800668,412417,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=065fa9f&sid=2401&ppid=9287405&vpid=112751514&ct=offers,Digi-Key,311-1415-1-ND,Cut Tape,0.0883502,0.1767004,0.1767004,800668,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,
5,CAY16-2201F4LF,Bourns,CAY16-2201F4LF,https://octopart.com/cay16-2201f4lf-bourns-2077373,"R1,R2,R3,R4,R6",2.2K,4 R-ARRAY,5,CAY16-2201F4LFCT-ND,652-CAY16-2201F4LF,Cut Tape,Tape & Reel,0.12369028000000001,0.0883502,23559,15893,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0363771&sid=459&ppid=2077373&vpid=50630166&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,Mouser,652-CAY16-2201F4LF,Tape & Reel,0.0883502,0.441751,0.441751,15893,1,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,
5,CKCL44X7R1H102M085AA,TDK,CKCL44X7R1H102M085AA,https://octopart.com/ckcl44x7r1h102m085aa-tdk-25948008,"C3,C9,C11,C26,C34",0.001uF,4 CAP ARRAY,5,,,,,,,,,,,,,,,,,,,,
1,LIS3DHTR,STMicroelectronics,LIS3DHTR,https://octopart.com/lis3dhtr-stmicroelectronics-44320803,U1,,ST ACCELEROMETER,1,497-10613-1-ND,511-LIS3DHTR,Cut Tape,Tape & Reel,1.35175806,1.29874794,114519,126360,1,1,https://octopart.com/click/track?ak=39ac400e&sig=09cef52&sid=459&ppid=44320803&vpid=115659001&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0e0e51e&sid=2401&ppid=44320803&vpid=115834342&ct=offers,Mouser,511-LIS3DHTR,Tape & Reel,1.29874794,1.29874794,1.29874794,126360,1,https://octopart.com/click/track?ak=39ac400e&sig=0e0e51e&sid=2401&ppid=44320803&vpid=115834342&ct=offers,
1,SN74LVC1G32DCKR,Texas Instruments,SN74LVC1G32DCKR,https://octopart.com/sn74lvc1g32dckr-texas+instruments-465563,U2,,OR_GATE,1,296-9848-1-ND,595-SN74LVC1G32DCKR,Cut Tape,Tape & Reel,0.31806072,0.3092257,117760,45849,1,1,https://octopart.com/click/track?ak=39ac400e&sig=09a7e80&sid=459&ppid=465563&vpid=1130765&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=02d095d&sid=2401&ppid=465563&vpid=37776151&ct=offers,Mouser,595-SN74LVC1G32DCKR,Tape & Reel,0.3092257,0.3092257,0.3092257,45849,1,https://octopart.com/click/track?ak=39ac400e&sig=02d095d&sid=2401&ppid=465563&vpid=37776151&ct=offers,
1,LM2664M6/NOPB,Texas Instruments,LM2664M6/NOPB,https://octopart.com/lm2664m6%2Fnopb-texas+instruments-24813038,U3,,V INVERTER,1,LM2664M6/NOPBCT-ND,926-LM2664M6/NOPB,Cut Tape,Tape & Reel,0.78631678,0.75981172,33636,52799,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0a147ca&sid=459&ppid=24813038&vpid=57587146&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05c76e5&sid=2401&ppid=24813038&vpid=57203919&ct=offers,Mouser,926-LM2664M6/NOPB,Tape & Reel,0.75981172,0.75981172,0.75981172,52799,1,https://octopart.com/click/track?ak=39ac400e&sig=05c76e5&sid=2401&ppid=24813038&vpid=57203919&ct=offers,
1,TLV70025QDDCRQ1,Texas Instruments,TLV70025QDDCRQ1,https://octopart.com/tlv70025qddcrq1-texas+instruments-18911818,U4,,'+2.5V LDO REG,1,296-36764-1-ND,595-TLV70025QDDCRQ1,Cut Tape,,0.5742763000000001,0.54777124,3239,3446,1,1,https://octopart.com/click/track?ak=39ac400e&sig=00c26ea&sid=459&ppid=18911818&vpid=88046137&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=024bbe0&sid=2401&ppid=18911818&vpid=114407127&ct=offers,Mouser,595-TLV70025QDDCRQ1,,0.54777124,0.54777124,0.54777124,3446,1,https://octopart.com/click/track?ak=39ac400e&sig=024bbe0&sid=2401&ppid=18911818&vpid=114407127&ct=offers,
1,MCP1754T-3302E/OT,Microchip,MCP1754T-3302E/OT,https://octopart.com/mcp1754t-3302e%2Fot-microchip-20908412,U5,,3V3 LDO REG,1,MCP1754T-3302E/OTCT-ND,579-MCP1754T3302EOT,Cut Tape,Tape & Reel,0.36223582,0.36223582,4322,3529,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0ea73e4&sid=459&ppid=20908412&vpid=188043736&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=01654f2&sid=2401&ppid=20908412&vpid=165390293&ct=offers,Digi-Key,MCP1754T-3302E/OTCT-ND,Cut Tape,0.36223582,0.36223582,0.36223582,4322,1,https://octopart.com/click/track?ak=39ac400e&sig=0ea73e4&sid=459&ppid=20908412&vpid=188043736&ct=offers,
1,ADS1299IPAG,Texas Instruments,ADS1299IPAG,https://octopart.com/ads1299ipag-texas+instruments-24258225,U6,,ADS1299,1,296-35009-ND,595-ADS1299IPAG,Tray,Tube,48.75164036,48.75164036,950,267,1,1,https://octopart.com/click/track?ak=39ac400e&sig=05c4266&sid=459&ppid=24258225&vpid=57142224&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0ac2f2d&sid=2401&ppid=24258225&vpid=57837758&ct=offers,Digi-Key,296-35009-ND,Tray,48.75164036,48.75164036,48.75164036,950,1,https://octopart.com/click/track?ak=39ac400e&sig=05c4266&sid=459&ppid=24258225&vpid=57142224&ct=offers,
1,PIC32MX250F128B-I/SS,Microchip,PIC32MX250F128B-I/SS,https://octopart.com/pic32mx250f128b-i%2Fss-microchip-21270500,U7,,PIC32 MICROCONTROLLER,1,PIC32MX250F128B-I/SS-ND,579-32MX250F128BISS,Tube,Tube,3.25128736,3.24245234,412,227,1,1,https://octopart.com/click/track?ak=39ac400e&sig=071b2c5&sid=459&ppid=21270500&vpid=46837486&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05680f6&sid=2401&ppid=21270500&vpid=52048859&ct=offers,Mouser,579-32MX250F128BISS,Tube,3.24245234,3.24245234,3.24245234,227,1,https://octopart.com/click/track?ak=39ac400e&sig=05680f6&sid=2401&ppid=21270500&vpid=52048859&ct=offers,
1,TPS72325DBVR,Texas Instruments,TPS72325DBVR,https://octopart.com/tps72325dbvr-texas+instruments-7117639,VR1,,'-2.5 LDO REG,1,296-39479-1-ND,595-TPS72325DBVR,Cut Tape,Tape & Reel,2.48264062,2.40312544,2813,3445,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0f56c62&sid=459&ppid=7117639&vpid=188098467&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0993181&sid=2401&ppid=7117639&vpid=165585377&ct=offers,Mouser,595-TPS72325DBVR,Tape & Reel,2.40312544,2.40312544,2.40312544,3445,1,https://octopart.com/click/track?ak=39ac400e&sig=0993181&sid=2401&ppid=7117639&vpid=165585377&ct=offers,
1,RFD22301,RF Digital,RFD22301,https://octopart.com/rfd22301-rf+digital-31889160,BLE1,,BTLE Module - OBSOLETO: utilizaremos ESP32-WROOM-32D,1,,,,,,,,,,,,,,,,,,,,
1,LTST-C193TBKT-5A,Lite-On,LTST-C193TBKT-5A,https://octopart.com/ltst-c193tbkt-5a-lite-on-12432959,D1,LED,BLUE LED,1,160-1827-1-ND,859-LTSTC193TBKT5A,Cut Tape,Tape & Reel,0.41524594,0.37990586,257450,129950,1,1,https://octopart.com/click/track?ak=39ac400e&sig=039433a&sid=459&ppid=12432959&vpid=34114151&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0933ca6&sid=2401&ppid=12432959&vpid=37701082&ct=offers,Mouser,859-LTSTC193TBKT5A,Tape & Reel,0.37990586,0.37990586,0.37990586,129950,1,https://octopart.com/click/track?ak=39ac400e&sig=0933ca6&sid=2401&ppid=12432959&vpid=37701082&ct=offers,
2,CDSU400B,Comchip,CDSU400B,https://octopart.com/cdsu400b-comchip-19042963,D8,,DIODE,2,641-1003-1-ND,750-CDSU400,Cut Tape,Tape & Reel,0.20320546,0.20320546,81934,27257,1,1,https://octopart.com/click/track?ak=39ac400e&sig=021ff2e&sid=459&ppid=19042963&vpid=34052243&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=008fde4&sid=2401&ppid=19042963&vpid=44715606&ct=offers,Digi-Key,641-1003-1-ND,Cut Tape,0.20320546,0.40641092,0.40641092,81934,1,https://octopart.com/click/track?ak=39ac400e&sig=021ff2e&sid=459&ppid=19042963&vpid=34052243&ct=offers,
1,CDBU0130L,Comchip,CDBU0130L,https://octopart.com/cdbu0130l-comchip-19043157,D9,,DIODE,1,641-1282-1-ND,750-CDBU0130L,Cut Tape,Tape & Reel,0.38874088,0.38874088,57682,27518,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c2ab93&sid=459&ppid=19043157&vpid=34052633&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0a36eb3&sid=2401&ppid=19043157&vpid=37915439&ct=offers,Digi-Key,641-1282-1-ND,Cut Tape,0.38874088,0.38874088,0.38874088,57682,1,https://octopart.com/click/track?ak=39ac400e&sig=0c2ab93&sid=459&ppid=19043157&vpid=34052633&ct=offers,
6,TPD4E1B06DCKR,Texas Instruments,TPD4E1B06DCKR,https://octopart.com/tpd4e1b06dckr-texas+instruments-25898253,"D2,D3,D4,D5,D6,D7",,TI QUAD TVS,6,296-39346-1-ND,595-TPD4E1B06DCKR,Cut Tape,Tape & Reel,0.51243116,0.49476112000000005,44472,26816,1,1,https://octopart.com/click/track?ak=39ac400e&sig=05cdc0b&sid=459&ppid=25898253&vpid=188095451&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=07a0dce&sid=2401&ppid=25898253&vpid=78493966&ct=offers,Mouser,595-TPD4E1B06DCKR,Tape & Reel,0.49476112000000005,2.96856672,2.96856672,26816,1,https://octopart.com/click/track?ak=39ac400e&sig=07a0dce&sid=2401&ppid=25898253&vpid=78493966&ct=offers,
1,CZRQR52C3-HF,Comchip,CZRQR52C3-HF,https://octopart.com/czrqr52c3-hf-comchip-22745856,D10,3V,3V Zener Diode,1,641-1976-1-ND,750-CZRQR52C3-HF,Cut Tape,Tape & Reel,0.3092257,0.31806072,0,9084,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=09a9fe3&sid=459&ppid=22745856&vpid=487635760&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=069aca9&sid=2401&ppid=22745856&vpid=53785791&ct=offers,Mouser,750-CZRQR52C3-HF,Tape & Reel,0.31806072,0.31806072,0.31806072,9084,1,https://octopart.com/click/track?ak=39ac400e&sig=069aca9&sid=2401&ppid=22745856&vpid=53785791&ct=offers,
3,RT0402FRE071KL,Yageo,RT0402FRE071KL,https://octopart.com/rt0402fre071kl-yageo-1190481,"R8,R10,R11",1K,Resistor,3,YAG1234CT-ND,603-RT0402FRE071KL,Cut Tape,Tape & Reel,0.0883502,0.0883502,388277,115184,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0ec7750&sid=459&ppid=1190481&vpid=88049526&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0093e52&sid=2401&ppid=1190481&vpid=57584706&ct=offers,Digi-Key,YAG1234CT-ND,Cut Tape,0.0883502,0.2650506,0.2650506,388277,1,https://octopart.com/click/track?ak=39ac400e&sig=0ec7750&sid=459&ppid=1190481&vpid=88049526&ct=offers,
1,RC0402JR-071ML,Yageo,RC0402JR-071ML,https://octopart.com/rc0402jr-071ml-yageo-40952634,R5,1M,Resistor,1,311-1.0MJRCT-ND,603-RC0402JR-071ML,Cut Tape,Tape & Reel,0.0883502,0.0883502,4107579,1748604,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0404116&sid=459&ppid=40952634&vpid=114982716&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=039a578&sid=2401&ppid=40952634&vpid=174630964&ct=offers,Digi-Key,311-1.0MJRCT-ND,Cut Tape,0.0883502,0.0883502,0.0883502,4107579,1,https://octopart.com/click/track?ak=39ac400e&sig=0404116&sid=459&ppid=40952634&vpid=114982716&ct=offers,
2,RC0402JR-07470KL,Yageo,RC0402JR-07470KL,https://octopart.com/rc0402jr-07470kl-yageo-39984246,"R7,R9",470K,Resistor,2,311-470KJRCT-ND,603-RC0402JR-07470KL,Cut Tape,Tape & Reel,0.0883502,0.0883502,2312768,469819,1,1,https://octopart.com/click/track?ak=39ac400e&sig=02ec200&sid=459&ppid=39984246&vpid=115682211&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0165ca6&sid=2401&ppid=39984246&vpid=174630972&ct=offers,Digi-Key,311-470KJRCT-ND,Cut Tape,0.0883502,0.1767004,0.1767004,2312768,1,https://octopart.com/click/track?ak=39ac400e&sig=02ec200&sid=459&ppid=39984246&vpid=115682211&ct=offers,
1,ABMM2-8.000MHZ-E2-T,Abracon,ABMM2-8.000MHZ-E2-T,https://octopart.com/abmm2-8.000mhz-e2-t-abracon-138521,X1,8MHz,8MHz XTAL,1,535-9628-1-ND,815-ABMM2-8-E2T,Cut Tape,Tape & Reel,0.63612144,0.83049188,53993,27118,1,1,https://octopart.com/click/track?ak=39ac400e&sig=06f1db9&sid=459&ppid=138521&vpid=2100799&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0d539aa&sid=2401&ppid=138521&vpid=37659863&ct=offers,Digi-Key,535-9628-1-ND,Cut Tape,0.63612144,0.63612144,0.63612144,53993,1,https://octopart.com/click/track?ak=39ac400e&sig=06f1db9&sid=459&ppid=138521&vpid=2100799&ct=offers,
1,S2B-PH-SM4-TB(LF)(SN),JST,S2B-PH-SM4-TB(LF)(SN),https://octopart.com/s2b-ph-sm4-tb%28lf%29%28sn%29-jst-248913,B1,,CONN HEADER PH SIDE 2POS 2MM SMD,1,455-1749-1-ND,,Cut Tape,,0.51243116,,130237,,1,,https://octopart.com/click/track?ak=39ac400e&sig=0e512d4&sid=459&ppid=248913&vpid=1142234&ct=offers,,Digi-Key,455-1749-1-ND,Cut Tape,0.51243116,0.51243116,0.51243116,130237,1,https://octopart.com/click/track?ak=39ac400e&sig=0e512d4&sid=459&ppid=248913&vpid=1142234&ct=offers,
1,CUS-13TB,Nidec Copal,CUS-13TB,https://octopart.com/cus-13tb-nidec+copal-85266946,SW2,,SP3T SLIDE SWITCH,1,563-1103-1-ND,,Cut Tape,,0.68913156,,6893,,1,,https://octopart.com/click/track?ak=39ac400e&sig=00ecc62&sid=459&ppid=85266946&vpid=449413897&ct=offers,,Digi-Key,563-1103-1-ND,Cut Tape,0.68913156,0.68913156,0.68913156,6893,1,https://octopart.com/click/track?ak=39ac400e&sig=00ecc62&sid=459&ppid=85266946&vpid=449413897&ct=offers,
2,PTS810 SJK 250 SMTR LFS,C&K Components,PTS810 SJK 250 SMTR LFS,https://octopart.com/pts810+sjk+250+smtr+lfs-c%26k+components-29687928,"SW1,SW3",,TACT SWITCH,2,CKN10503CT-ND,,Cut Tape,,0.26505059999999997,,57338,,1,,https://octopart.com/click/track?ak=39ac400e&sig=0c5843c&sid=459&ppid=29687928&vpid=81184364&ct=offers,,Digi-Key,CKN10503CT-ND,Cut Tape,0.26505059999999997,0.5301011999999999,0.5301011999999999,57338,1,https://octopart.com/click/track?ak=39ac400e&sig=0c5843c&sid=459&ppid=29687928&vpid=81184364&ct=offers,
1,61302221021,Würth Elektronik,61302221021,https://octopart.com/61302221021-w%C3%BCrth+elektronik-32855559,PL1,,"Dual 11 x 2  0.1"" pitch MALE header row Right Angle",1,732-5358-ND,710-61302221021,Bag,Bulk,1.30758296,1.30758296,500,857,1,1,https://octopart.com/click/track?ak=39ac400e&sig=032c227&sid=459&ppid=32855559&vpid=116457434&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=02ea1fb&sid=2401&ppid=32855559&vpid=220834278&ct=offers,Digi-Key,732-5358-ND,Bag,1.30758296,1.30758296,1.30758296,500,1,https://octopart.com/click/track?ak=39ac400e&sig=032c227&sid=459&ppid=32855559&vpid=116457434&ct=offers,
1,ESP32-WROOM-32D (16MB),Espressif Systems,ESP32-WROOM-32D (16MB),https://octopart.com/esp32-wroom-32d+%2816mb%29-espressif+systems-92398162,BLE1,,Módulo wifi bluetooth,1,1904-1025-1-ND,356-ES32WROOM32D16MB,Cut Tape,,3.975759,3.975759,964,445,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=06b3728&sid=459&ppid=92398162&vpid=483639334&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=06ee91e&sid=2401&ppid=92398162&vpid=482418415&ct=offers,Digi-Key,1904-1025-1-ND,Cut Tape,3.975759,3.975759,3.975759,964,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=06b3728&sid=459&ppid=92398162&vpid=483639334&ct=offers,
